시도,구시,동,단지,거래수,제곱미터당,금액중간,면적중간,건축년도,최근연
경기,광명시,소하동,광명소하휴먼시아3단지,38,9177178,778500000,84.8,2009,2026
경기,광명시,소하동,광명소하휴먼시아5단지,79,10182460,758000000,84.8,2009,2026
경기,광명시,소하동,광명소하휴먼시아7단지,46,7867466,881000000,119.8,2010,2026
경기,광명시,소하동,광명신촌휴먼시아1단지,90,9470818,790000000,84.5,2010,2026
경기,광명시,소하동,광명역세권휴먼시아3단지,76,9160928,729000000,79.6,2011,2026
경기,광명시,소하동,광명역세권휴먼시아4단지,85,9272468,730000000,84.1,2010,2026
경기,광명시,소하동,광명역세권휴먼시아5단지,24,8045177,884500000,101.5,2011,2026
경기,광명시,소하동,금호어울림,48,7530298,623500000,85.0,2006,2026
경기,광명시,소하동,기아파크빌,2,5532171,92000000,16.6,2012,2026
경기,광명시,소하동,동양메이저1차,22,6902561,585000000,84.9,2000,2026
경기,광명시,소하동,동양메이저2차,78,8119271,691000000,85.0,2003,2026
경기,광명시,소하동,미도1차,5,5015291,410000000,81.8,1990,2026
경기,광명시,소하동,미도3차,12,5786703,352500000,59.8,1994,2026
경기,광명시,소하동,미도아파트2차,15,5480905,353000000,59.7,1993,2026
경기,광명시,소하동,바움캐슬주상복합아파트,4,6336480,394500000,62.3,2017,2025
경기,광명시,소하동,비엔팰리스,4,8201342,427000000,52.0,2019,2026
경기,광명시,소하동,성원아파트,17,5781224,350000000,59.3,1994,2026
경기,광명시,소하동,오덕,2,4208948,239500000,57.0,1990,2026
경기,광명시,소하동,오크팰리스,4,7471805,397500000,56.4,2014,2026
경기,광명시,소하동,우림필유,31,8288334,505000000,59.7,2005,2026
경기,광명시,소하동,윤정하이빌,2,5182054,380000000,73.3,2002,2026
경기,광명시,소하동,현대1,12,5146971,432500000,84.0,1991,2026
경기,광명시,소하동,현대2,10,5182891,439250000,84.8,1992,2026
경기,광명시,일직동,광명역센트럴자이,108,15336931,1210000000,84.9,2018,2026
경기,광명시,일직동,광명역써밋플레이스,153,16420169,1197000000,84.9,2018,2026
경기,광명시,일직동,광명역파크자이,89,14947578,1160000000,84.9,2017,2026
경기,광명시,일직동,광명역푸르지오,68,14821934,1117500000,84.9,2017,2026
경기,광명시,일직동,유-플래닛태영데시앙,152,15281504,1350000000,84.9,2019,2026
경기,광명시,철산동,광명푸르지오,53,11151933,805000000,84.8,2007,2026
경기,광명시,철산동,광복현대,113,7907908,600000000,59.9,1998,2026
